url,average_commit_time (ms),average_image_gathering_time (ms),average_num_layers_drawn (),average_num_missing_tiles (),dom_content_loaded_time (seconds),dropped_percent (%),first_paint (ms),load_time (seconds),mean_frame_time (ms),percent_impl_scrolled (%),texture_upload_count (count),total_deferred_image_decode_count (count),total_deferred_image_decoding_time (seconds),total_image_cache_hit_count (count),total_texture_upload_time (seconds)
v1.0.0/alert.html,0,0,0.0,0.0,0.233,0.0,456.0,0.338,8.634,0.0,0,0,0,0,0
v1.1.0/alert.html,0,0,0.0,0.0,0.079,0.0,185.0,0.175,8.701,0.0,0,0,0,0,0
v1.1.1/alert.html,0,0,0.0,0.0,0.076,0.0,181.0,0.171,8.592,0.0,0,0,0,0,0
v1.2.0/alert.html,0,0,0.0,0.0,0.076,0.0,117.0,0.11,8.714,0.0,0,0,0,0,0
v1.3.0/alert.html,0,0,0.0,0.0,0.09,0.0,162.0,0.149,8.708,0.0,0,0,0,0,0
v1.4.0/alert.html,0,0,0.0,0.0,0.082,0.0,145.0,0.135,8.667,0.0,0,0,0,0,0
v2.0.0/alert.html,0,0,0.0,0.0,0.093,0.0,171.0,0.155,8.478,0.0,0,0,0,0,0
v2.0.1/alert.html,0,0,0.0,0.0,0.091,0.0,162.0,0.152,8.542,0.0,0,0,0,0,0
v2.0.2/alert.html,0,0,0.0,0.0,0.102,0.0,180.0,0.17,8.465,0.0,0,0,0,0,0
v2.0.3/alert.html,0,0,0.0,0.0,0.095,0.0,174.0,0.164,8.449,0.0,0,0,0,0,0
v2.0.4/alert.html,0,0,0.0,0.0,0.1,0.0,173.0,0.163,8.428,0.0,0,0,0,0,0
v2.1.0/alert.html,0,0,0.0,0.0,0.116,0.0,226.0,0.191,8.405,0.0,0,0,0,0,0
v2.1.1/alert.html,0,0,0.0,0.0,0.161,0.0,255.0,0.229,8.391,0.0,0,0,0,0,0
v2.2.0/alert.html,0,0,0.0,0.0,0.1,0.0,179.0,0.169,8.547,0.0,0,0,0,0,0
v2.2.1/alert.html,0,0,0.0,0.0,0.103,0.0,174.0,0.163,8.589,0.0,0,0,0,0,0
v2.2.2/alert.html,0,0,0.0,0.0,0.107,0.0,180.0,0.169,8.462,0.0,0,0,0,0,0
v2.3.0/alert.html,0,0,0.0,0.0,0.121,0.0,196.0,0.185,8.45,0.0,0,0,0,0,0
v2.3.1/alert.html,0,0,0.0,0.0,0.112,0.0,190.0,0.179,8.5,0.0,0,0,0,0,0
v2.3.2/alert.html,0,0,0.0,0.0,0.1,0.0,176.0,0.165,8.647,0.0,0,0,0,0,0
v3.0.0-rc.2/alert.html,0,0,0.0,0.0,0.095,0.0,162.0,0.151,8.724,0.0,0,0,0,0,0
v3.0.0-rc1/alert.html,0,0,0.0,0.0,0.083,0.0,157.0,0.146,8.628,0.0,0,0,0,0,0
v3.0.0-rcFinal/alert.html,0,0,0.0,0.0,0.095,0.0,155.0,0.147,8.655,0.0,0,0,0,0,0
v1.0.0/badges.html,0,0,0.0,0.0,0.046,0.0,76.0,0.068,8.628,0.0,0,0,0,0,0
v1.1.0/badges.html,0,0,0.0,0.0,0.043,0.0,74.0,0.066,8.8,0.0,0,0,0,0,0
v1.1.1/badges.html,0,0,0.0,0.0,0.044,0.0,74.0,0.066,8.632,0.0,0,0,0,0,0
v1.2.0/badges.html,0,0,0.0,0.0,0.043,0.0,63.0,0.057,8.611,0.0,0,0,0,0,0
v1.3.0/badges.html,0,0,0.0,0.0,0.047,0.0,76.0,0.064,8.695,0.0,0,0,0,0,0
v1.4.0/badges.html,0,0,0.0,0.0,0.046,0.0,69.0,0.062,8.592,0.0,0,0,0,0,0
v2.0.0/badges.html,0,0,0.0,0.0,0.056,0.0,79.0,0.072,8.605,0.0,0,0,0,0,0
v2.0.1/badges.html,0,0,0.0,0.0,0.052,0.0,80.0,0.07,8.659,0.0,0,0,0,0,0
v2.0.2/badges.html,0,0,0.0,0.0,0.06,0.0,88.0,0.08,8.716,0.0,0,0,0,0,0
v2.0.3/badges.html,0,0,0.0,0.0,0.062,0.0,94.0,0.085,8.65,0.0,0,0,0,0,0
v2.0.4/badges.html,0,0,0.0,0.0,0.061,0.0,91.0,0.082,8.685,0.0,0,0,0,0,0
v2.1.0/badges.html,0,0,0.0,0.0,0.061,0.0,95.0,0.084,8.636,0.0,0,0,0,0,0
v2.1.1/badges.html,0,0,0.0,0.0,0.071,0.0,121.0,0.106,8.694,0.0,0,0,0,0,0
v2.2.0/badges.html,0,0,0.0,0.0,0.061,0.0,97.0,0.086,8.65,0.0,0,0,0,0,0
v2.2.1/badges.html,0,0,0.0,0.0,0.065,0.0,102.0,0.092,8.73,0.0,0,0,0,0,0
v2.2.2/badges.html,0,0,0.0,0.0,0.11,0.0,276.0,0.222,8.622,0.0,0,0,0,0,0
v2.3.0/badges.html,0,0,0.0,0.0,0.107,0.0,268.0,0.207,8.638,0.0,0,0,0,0,0
v2.3.1/badges.html,0,0,0.0,0.0,0.098,0.0,247.0,0.196,8.662,0.0,0,0,0,0,0
v2.3.2/badges.html,0,0,0.0,0.0,0.104,0.0,256.0,0.198,8.586,0.0,0,0,0,0,0
v3.0.0-rc.2/badges.html,0,0,0.0,0.0,0.094,0.0,149.0,0.142,8.566,0.0,0,0,0,0,0
v3.0.0-rc1/badges.html,0,0,0.0,0.0,0.051,0.0,78.0,0.07,8.568,0.0,0,0,0,0,0
v3.0.0-rcFinal/badges.html,0,0,0.0,0.0,0.088,0.0,147.0,0.14,8.687,0.0,0,0,0,0,0
v1.0.0/base-css.html,0,0,0.0,0.0,0.068,0.0,434.0,0.247,8.729,0.0,0,0,0,0,0
v1.1.0/base-css.html,0,0,0.0,0.0,0.094,0.0,478.0,0.292,8.719,0.0,0,0,0,0,0
v1.1.1/base-css.html,0,0,0.0,0.0,0.088,0.0,490.0,0.284,8.628,0.0,0,0,0,0,0
v1.2.0/base-css.html,0,0,0.0,0.0,0.123,0.0,283.0,0.206,8.547,0.0,0,0,0,0,0
v1.3.0/base-css.html,0,0,0.0,0.0,0.129,0.0,315.0,0.216,8.563,0.0,0,0,0,0,0
v1.4.0/base-css.html,0,0,0.0,0.0,0.161,0.0,337.0,0.252,8.537,0.0,0,0,0,0,0
v2.0.0/base-css.html,0,0,0.0,0.0,0.145,0.0,337.0,0.232,8.577,0.0,0,0,0,0,0
v2.0.1/base-css.html,0,0,0.0,0.0,0.151,0.0,315.0,0.227,8.61,0.0,0,0,0,0,0
v2.0.2/base-css.html,0,0,0.0,0.0,0.147,0.0,334.0,0.237,8.613,0.0,0,0,0,0,0
v2.0.3/base-css.html,0,0,0.0,0.0,0.11,0.0,185.0,0.181,8.638,0.0,0,0,0,0,0
v2.0.4/base-css.html,0,0,0.0,0.0,0.111,0.0,188.0,0.183,8.604,0.0,0,0,0,0,0
v2.1.0/base-css.html,0,0,0.0,0.0,0.117,0.0,271.0,0.197,8.581,0.0,0,0,0,0,0
v2.1.1/base-css.html,0,0,0.0,0.0,0.175,0.0,319.0,0.243,8.576,0.0,0,0,0,0,0
v2.2.0/base-css.html,0,0,0.0,0.0,0.123,0.0,202.0,0.193,8.674,0.0,0,0,0,0,0
v2.2.1/base-css.html,0,0,0.0,0.0,0.119,0.0,197.0,0.188,8.702,0.0,0,0,0,0,0
v2.2.2/base-css.html,0,0,0.0,0.0,0.126,0.0,205.0,0.195,8.778,0.0,0,0,0,0,0
v2.3.0/base-css.html,0,0,0.0,0.0,0.127,0.0,204.0,0.195,8.776,0.0,0,0,0,0,0
v2.3.1/base-css.html,0,0,0.0,0.0,0.138,0.0,281.0,0.206,8.818,0.0,0,0,0,0,0
