url,average_commit_time (ms),average_image_gathering_time (ms),average_num_layers_drawn (),average_num_missing_tiles (),dom_content_loaded_time (seconds),dropped_percent (%),first_paint (ms),load_time (seconds),mean_frame_time (ms),percent_impl_scrolled (%),texture_upload_count (count),total_deferred_image_decode_count (count),total_deferred_image_decoding_time (seconds),total_image_cache_hit_count (count),total_texture_upload_time (seconds)
v2.0.1/base-css.html,0,0,0.0,0.0,0.104,0.0,180.0,0.175,8.716,0.0,0,0,0,0,0
v2.0.2/base-css.html,0,0,0.0,0.0,0.101,0.0,177.0,0.172,8.791,0.0,0,0,0,0,0
v2.0.3/base-css.html,0,0,0.0,0.0,0.115,0.0,195.0,0.186,8.707,0.0,0,0,0,0,0
v2.0.4/base-css.html,0,0,0.0,0.0,0.112,0.0,194.0,0.185,8.793,0.0,0,0,0,0,0
v2.1.0/base-css.html,0,0,0.0,0.0,0.117,0.0,205.0,0.191,8.746,0.0,0,0,0,0,0
v2.1.1/base-css.html,0,0,0.0,0.0,0.141,0.0,296.0,0.217,8.795,0.0,0,0,0,0,0
v2.2.0/base-css.html,0,0,0.0,0.0,0.117,0.0,195.0,0.186,8.848,0.0,0,0,0,0,0
v2.2.1/base-css.html,0,0,0.0,0.0,0.12,0.0,196.0,0.187,8.715,0.0,0,0,0,0,0
v2.2.2/base-css.html,0,0,0.0,0.0,0.121,0.0,197.0,0.191,8.472,0.0,0,0,0,0,0
v2.3.0/base-css.html,0,0,0.0,0.0,0.136,0.0,283.0,0.202,8.667,0.0,0,0,0,0,0
v2.3.1/base-css.html,0,0,0.0,0.0,0.174,0.0,396.0,0.273,8.69,0.0,0,0,0,0,0
v2.3.2/base-css.html,0,0,0.0,0.0,0.125,0.0,200.0,0.19,8.633,0.0,0,0,0,0,0
v3.0.0-rc.2/base-css.html,0,0,0.0,0.0,0.104,0.0,196.0,0.188,8.705,0.0,0,0,0,0,0
v3.0.0-rc1/base-css.html,0,0,0.0,0.0,0.098,0.0,179.0,0.174,8.667,0.0,0,0,0,0,0
v3.0.0-rcFinal/base-css.html,0,0,0.0,0.0,0.116,0.0,241.0,0.204,8.651,0.0,0,0,0,0,0
v1.0.0/breadcrumbs.html,0,0,0.0,0.0,0.046,0.0,96.0,0.08,8.48,0.0,0,0,0,0,0
v1.1.0/breadcrumbs.html,0,0,0.0,0.0,0.04,0.0,74.0,0.069,8.557,0.0,0,0,0,0,0
v1.1.1/breadcrumbs.html,0,0,0.0,0.0,0.04,0.0,73.0,0.067,8.6,0.0,0,0,0,0,0
v1.2.0/breadcrumbs.html,0,0,0.0,0.0,0.042,0.0,65.0,0.06,8.673,0.0,0,0,0,0,0
v1.3.0/breadcrumbs.html,0,0,0.0,0.0,0.043,0.0,69.0,0.058,8.658,0.0,0,0,0,0,0
v1.4.0/breadcrumbs.html,0,0,0.0,0.0,0.042,0.0,66.0,0.056,8.817,0.0,0,0,0,0,0
v2.0.0/breadcrumbs.html,0,0,0.0,0.0,0.066,0.0,88.0,0.079,8.775,0.0,0,0,0,0,0
v2.0.1/breadcrumbs.html,0,0,0.0,0.0,0.05,0.0,77.0,0.068,8.762,0.0,0,0,0,0,0
v2.0.2/breadcrumbs.html,0,0,0.0,0.0,0.055,0.0,83.0,0.074,8.694,0.0,0,0,0,0,0
v2.0.3/breadcrumbs.html,0,0,0.0,0.0,0.052,0.0,81.0,0.071,8.686,0.0,0,0,0,0,0
v2.0.4/breadcrumbs.html,0,0,0.0,0.0,0.054,0.0,83.0,0.073,8.704,0.0,0,0,0,0,0
v2.1.0/breadcrumbs.html,0,0,0.0,0.0,0.058,0.0,86.0,0.079,8.671,0.0,0,0,0,0,0
v2.1.1/breadcrumbs.html,0,0,0.0,0.0,0.065,0.0,97.0,0.09,8.803,0.0,0,0,0,0,0
v2.2.0/breadcrumbs.html,0,0,0.0,0.0,0.059,0.0,85.0,0.079,8.772,0.0,0,0,0,0,0
v2.2.1/breadcrumbs.html,0,0,0.0,0.0,0.06,0.0,85.0,0.079,8.689,0.0,0,0,0,0,0
v2.2.2/breadcrumbs.html,0,0,0.0,0.0,0.06,0.0,84.0,0.078,8.762,0.0,0,0,0,0,0
v2.3.0/breadcrumbs.html,0,0,0.0,0.0,0.064,0.0,91.0,0.084,8.797,0.0,0,0,0,0,0
v2.3.1/breadcrumbs.html,0,0,0.0,0.0,0.061,0.0,85.0,0.079,8.772,0.0,0,0,0,0,0
v2.3.2/breadcrumbs.html,0,0,0.0,0.0,0.059,0.0,85.0,0.079,8.762,0.0,0,0,0,0,0
v3.0.0-rc.2/breadcrumbs.html,0,0,0.0,0.0,0.057,0.0,89.0,0.083,8.823,0.0,0,0,0,0,0
v3.0.0-rc1/breadcrumbs.html,0,0,0.0,0.0,0.049,0.0,76.0,0.071,8.772,0.0,0,0,0,0,0
v3.0.0-rcFinal/breadcrumbs.html,0,0,0.0,0.0,0.061,0.0,91.0,0.086,8.777,0.0,0,0,0,0,0
v1.0.0/button-all.html,0,0,0.0,0.0,0.151,0.0,514.0,0.322,8.622,0.0,0,0,0,0,0
v1.1.0/button-all.html,0,0,0.0,0.0,0.16,0.0,518.0,0.321,8.64,0.0,0,0,0,0,0
v1.1.1/button-all.html,0,0,0.0,0.0,0.175,0.0,545.0,0.348,8.55,0.0,0,0,0,0,0
v1.2.0/button-all.html,0,0,0.0,0.0,0.17,0.0,534.0,0.343,8.643,0.0,0,0,0,0,0
v1.3.0/button-all.html,0,0,0.0,0.0,0.169,0.0,541.0,0.346,8.547,0.0,0,0,0,0,0
v1.4.0/button-all.html,0,0,0.0,0.0,0.22,0.0,734.0,0.466,8.415,0.0,0,0,0,0,0
v2.0.0/button-all.html,0,0,0.0,0.0,0.174,0.0,520.0,0.323,8.472,0.0,0,0,0,0,0
