url,average_commit_time (ms),average_image_gathering_time (ms),average_num_layers_drawn (),average_num_missing_tiles (),dom_content_loaded_time (seconds),dropped_percent (%),first_paint (ms),load_time (seconds),mean_frame_time (ms),percent_impl_scrolled (%),texture_upload_count (count),total_deferred_image_decode_count (count),total_deferred_image_decoding_time (seconds),total_image_cache_hit_count (count),total_texture_upload_time (seconds)
v1.0.0/alert.html,0,0,0.0,0.0,0.41,0.0,696.0,0.599,8.298,0.0,0,0,0,0,0
v1.1.0/alert.html,0,0,0.0,0.0,0.185,0.0,461.0,0.332,8.316,0.0,0,0,0,0,0
v1.1.1/alert.html,0,0,0.0,0.0,0.255,0.0,599.0,0.477,8.488,0.0,0,0,0,0,0
v1.2.0/alert.html,0,0,0.0,0.0,0.201,0.0,305.0,0.254,8.397,0.0,0,0,0,0,0
v1.3.0/alert.html,0,0,0.0,0.0,0.238,0.0,430.0,0.328,8.248,0.0,0,0,0,0,0
v1.4.0/alert.html,0,0,0.0,0.0,0.193,0.0,289.0,0.236,8.291,0.0,0,0,0,0,0
v2.0.0/alert.html,0,0,0.0,0.0,0.207,0.0,317.0,0.26,8.279,0.0,0,0,0,0,0
v2.0.1/alert.html,0,0,0.0,0.0,0.171,0.0,277.0,0.222,8.332,0.0,0,0,0,0,0
v2.0.2/alert.html,0,0,0.0,0.0,0.243,0.0,500.0,0.405,8.289,0.0,0,0,0,0,0
v2.0.3/alert.html,0,0,0.0,0.0,0.228,0.0,479.0,0.364,8.317,0.0,0,0,0,0,0
v2.0.4/alert.html,0,0,0.0,0.0,0.23,0.0,336.0,0.282,8.321,0.0,0,0,0,0,0
v2.1.0/alert.html,0,0,0.0,0.0,0.229,0.0,372.0,0.31,8.294,0.0,0,0,0,0,0
v2.1.1/alert.html,0,0,0.0,0.0,0.273,0.0,218.0,0.358,8.297,0.0,0,0,0,0,0
v2.2.0/alert.html,0,0,0.0,0.0,0.102,0.0,174.0,0.163,8.385,0.0,0,0,0,0,0
v2.2.1/alert.html,0,0,0.0,0.0,0.089,0.0,168.0,0.156,8.385,0.0,0,0,0,0,0
v2.2.2/alert.html,0,0,0.0,0.0,0.095,0.0,166.0,0.156,8.562,0.0,0,0,0,0,0
v2.3.0/alert.html,0,0,0.0,0.0,0.105,0.0,183.0,0.173,8.496,0.0,0,0,0,0,0
v2.3.1/alert.html,0,0,0.0,0.0,0.099,0.0,171.0,0.161,8.346,0.0,0,0,0,0,0
v2.3.2/alert.html,0,0,0.0,0.0,0.248,0.0,502.0,0.391,8.601,0.0,0,0,0,0,0
v3.0.0-rc.2/alert.html,0,0,0.0,0.0,0.19,0.0,255.0,0.237,8.304,0.0,0,0,0,0,0
v3.0.0-rc1/alert.html,0,0,0.0,0.0,0.193,0.0,305.0,0.252,8.282,0.0,0,0,0,0,0
v3.0.0-rcFinal/alert.html,0,0,0.0,0.0,0.217,0.0,313.1,0.263,8.321,0.0,0,0,0,0,0
v1.0.0/badges.html,0,0,0.0,0.0,0.122,0.0,168.0,0.157,8.711,0.0,0,0,0,0,0
v1.1.0/badges.html,0,0,0.0,0.0,0.13,0.0,177.0,0.165,8.54,0.0,0,0,0,0,0
v1.1.1/badges.html,0,0,0.0,0.0,0.116,0.0,172.0,0.158,8.463,0.0,0,0,0,0,0
v1.2.0/badges.html,0,0,0.0,0.0,0.096,0.0,143.0,0.13,8.56,0.0,0,0,0,0,0
v1.3.0/badges.html,0,0,0.0,0.0,0.146,0.0,235.0,0.19,8.517,0.0,0,0,0,0,0
v1.4.0/badges.html,0,0,0.0,0.0,0.166,0.0,211.0,0.196,8.509,0.0,0,0,0,0,0
v2.0.0/badges.html,0,0,0.0,0.0,0.139,0.0,182.0,0.169,8.495,0.0,0,0,0,0,0
v2.0.1/badges.html,0,0,0.0,0.0,0.171,0.0,247.0,0.214,8.524,0.0,0,0,0,0,0
v2.0.2/badges.html,0,0,0.0,0.0,0.178,0.0,269.0,0.238,8.618,0.0,0,0,0,0,0
v2.0.3/badges.html,0,0,0.0,0.0,0.183,0.0,286.0,0.257,8.596,0.0,0,0,0,0,0
v2.0.4/badges.html,0,0,0.0,0.0,0.172,0.0,252.6,0.218,8.58,0.0,0,0,0,0,0
v2.1.0/badges.html,0,0,0.0,0.0,0.158,0.0,226.0,0.197,8.471,0.0,0,0,0,0,0
v2.1.1/badges.html,0,0,0.0,0.0,0.187,0.0,265.0,0.238,8.512,0.0,0,0,0,0,0
v2.2.0/badges.html,0,0,0.0,0.0,0.05,0.0,80.0,0.072,8.529,0.0,0,0,0,0,0
v2.2.1/badges.html,0,0,0.0,0.0,0.16,0.0,209.0,0.196,8.601,0.0,0,0,0,0,0
v2.2.2/badges.html,0,0,0.0,0.0,0.243,0.0,514.0,0.407,8.578,0.0,0,0,0,0,0
v2.3.0/badges.html,0,0,0.0,0.0,0.265,0.0,416.0,0.353,8.512,0.0,0,0,0,0,0
v2.3.1/badges.html,0,0,0.0,0.0,0.084,0.0,176.0,0.168,8.349,0.0,0,0,0,0,0
v2.3.2/badges.html,0,0,0.0,0.0,0.24,0.0,453.0,0.39,8.461,0.0,0,0,0,0,0
v3.0.0-rc.2/badges.html,0,0,0.0,0.0,0.303,0.0,474.0,0.408,8.574,0.0,0,0,0,0,0
v3.0.0-rc1/badges.html,0,0,0.0,0.0,0.153,0.0,202.0,0.188,8.442,0.0,0,0,0,0,0
v3.0.0-rcFinal/badges.html,0,0,0.0,0.0,0.191,0.0,312.0,0.254,8.54,0.0,0,0,0,0,0
