url,average_commit_time (ms),average_image_gathering_time (ms),average_num_layers_drawn (),average_num_missing_tiles (),dom_content_loaded_time (seconds),dropped_percent (%),first_paint (ms),load_time (seconds),mean_frame_time (ms),percent_impl_scrolled (%),texture_upload_count (count),total_deferred_image_decode_count (count),total_deferred_image_decoding_time (seconds),total_image_cache_hit_count (count),total_texture_upload_time (seconds)
v1.0.0/alert.html,0,0,0.0,0.0,0.378,0.0,635.0,0.541,8.626,0.0,0,0,0,0,0
v1.1.0/alert.html,0,0,0.0,0.0,0.076,0.0,180.0,0.168,8.558,0.0,0,0,0,0,0
v1.1.1/alert.html,0,0,0.0,0.0,0.204,0.0,640.0,0.411,8.635,0.0,0,0,0,0,0
v1.2.0/alert.html,0,0,0.0,0.0,0.164,0.0,307.0,0.227,8.706,0.0,0,0,0,0,0
v1.3.0/alert.html,0,0,0.0,0.0,0.236,0.0,347.0,0.296,8.509,0.0,0,0,0,0,0
v1.4.0/alert.html,0,0,0.0,0.0,0.187,0.0,293.0,0.242,8.388,0.0,0,0,0,0,0
v2.0.0/alert.html,0,0,0.0,0.0,0.26,0.0,384.0,0.326,8.4,0.0,0,0,0,0,0
v2.0.1/alert.html,0,0,0.0,0.0,0.209,0.0,313.0,0.26,8.369,0.0,0,0,0,0,0
v2.0.2/alert.html,0,0,0.0,0.0,0.257,0.0,480.0,0.388,8.415,0.0,0,0,0,0,0
v2.0.3/alert.html,0,0,0.0,0.0,0.258,0.0,620.0,0.45,8.604,0.0,0,0,0,0,0
v2.0.4/alert.html,0,0,0.0,0.0,0.218,0.0,359.0,0.301,8.49,0.0,0,0,0,0,0
v2.1.0/alert.html,0,0,0.0,0.0,0.243,0.0,369.0,0.299,8.374,0.0,0,0,0,0,0
v2.1.1/alert.html,0,0,0.0,0.0,0.208,0.0,318.0,0.262,8.35,0.0,0,0,0,0,0
v2.2.0/alert.html,0,0,0.0,0.0,0.226,0.0,458.0,0.33,8.375,0.0,0,0,0,0,0
v2.2.1/alert.html,0,0,0.0,0.0,0.284,0.0,534.0,0.456,8.309,0.0,0,0,0,0,0
v2.2.2/alert.html,0,0,0.0,0.0,0.275,0.0,511.0,0.387,8.516,0.0,0,0,0,0,0
v2.3.0/alert.html,0,0,0.0,0.0,0.225,0.0,332.0,0.277,8.387,0.0,0,0,0,0,0
v2.3.1/alert.html,0,0,0.0,0.0,0.231,0.0,555.0,0.384,8.332,0.0,0,0,0,0,0
v2.3.2/alert.html,0,0,0.0,0.0,0.17,0.0,275.0,0.255,8.313,0.0,0,0,0,0,0
v3.0.0-rc.2/alert.html,0,0,0.0,0.0,0.216,0.0,316.0,0.266,8.371,0.0,0,0,0,0,0
v3.0.0-rc1/alert.html,0,0,0.0,0.0,0.202,0.0,313.0,0.261,8.404,0.0,0,0,0,0,0
v3.0.0-rcFinal/alert.html,0,0,0.0,0.0,0.224,0.0,356.0,0.306,8.34,0.0,0,0,0,0,0
v1.0.0/badges.html,0,0,0.0,0.0,0.137,0.0,217.0,0.189,8.533,0.0,0,0,0,0,0
v1.1.0/badges.html,0,0,0.0,0.0,0.133,0.0,182.0,0.17,8.609,0.0,0,0,0,0,0
