url,average_commit_time (ms),average_image_gathering_time (ms),average_num_layers_drawn (),average_num_missing_tiles (),dom_content_loaded_time (seconds),dropped_percent (%),first_paint (ms),load_time (seconds),mean_frame_time (ms),percent_impl_scrolled (%),texture_upload_count (count),total_deferred_image_decode_count (count),total_deferred_image_decoding_time (seconds),total_image_cache_hit_count (count),total_texture_upload_time (seconds)
v1.0.0/alert.html,0,0,0.0,0.0,0.423,0.0,215.0,0.607,8.346,0.0,0,0,0,0,0
v1.1.0/alert.html,0,0,0.0,0.0,0.162,0.0,332.0,0.242,8.345,0.0,0,0,0,0,0
v1.1.1/alert.html,0,0,0.0,0.0,0.199,0.0,380.0,0.292,8.559,0.0,0,0,0,0,0
v1.2.0/alert.html,0,0,0.0,0.0,0.205,0.0,269.0,0.235,8.369,0.0,0,0,0,0,0
v1.3.0/alert.html,0,0,0.0,0.0,0.205,0.0,460.0,0.315,8.436,0.0,0,0,0,0,0
v1.4.0/alert.html,0,0,0.0,0.0,0.213,0.0,322.0,0.273,8.369,0.0,0,0,0,0,0
v2.0.0/alert.html,0,0,0.0,0.0,0.217,0.0,338.0,0.279,8.284,0.0,0,0,0,0,0
v2.0.1/alert.html,0,0,0.0,0.0,0.2,0.0,360.0,0.301,8.251,0.0,0,0,0,0,0
v2.0.2/alert.html,0,0,0.0,0.0,0.272,0.0,569.0,0.446,8.37,0.0,0,0,0,0,0
v2.0.3/alert.html,0,0,0.0,0.0,0.26,0.0,410.0,0.357,8.272,0.0,0,0,0,0,0
v2.0.4/alert.html,0,0,0.0,0.0,0.22,0.0,328.5,0.274,8.193,0.0,0,0,0,0,0
v2.1.0/alert.html,0,0,0.0,0.0,0.22,0.0,366.0,0.299,8.21,0.0,0,0,0,0,0
v2.1.1/alert.html,0,0,0.0,0.0,0.23,0.0,340.0,0.284,8.24,0.0,0,0,0,0,0
v2.2.0/alert.html,0,0,0.0,0.0,0.259,0.0,367.0,0.312,8.242,0.0,0,0,0,0,0
v2.2.1/alert.html,0,0,0.0,0.0,0.329,0.0,498.0,0.432,8.245,0.0,0,0,0,0,0
v2.2.2/alert.html,0,0,0.0,0.0,0.276,0.0,524.0,0.412,8.245,0.0,0,0,0,0,0
v2.3.0/alert.html,0,0,0.0,0.0,0.25,0.0,428.0,0.354,8.203,0.0,0,0,0,0,0
v2.3.1/alert.html,0,0,0.0,0.0,0.084,0.0,147.0,0.138,8.297,0.0,0,0,0,0,0
v2.3.2/alert.html,0,0,0.0,0.0,0.229,0.0,363.0,0.307,8.247,0.0,0,0,0,0,0
v3.0.0-rc.2/alert.html,0,0,0.0,0.0,0.23,0.0,398.0,0.306,8.263,0.0,0,0,0,0,0
v3.0.0-rc1/alert.html,0,0,0.0,0.0,0.201,0.0,310.0,0.258,8.25,0.0,0,0,0,0,0
v3.0.0-rcFinal/alert.html,0,0,0.0,0.0,0.221,0.0,347.0,0.299,8.258,0.0,0,0,0,0,0
v1.0.0/badges.html,0,0,0.0,0.0,0.136,0.0,262.0,0.197,8.477,0.0,0,0,0,0,0
v1.1.0/badges.html,0,0,0.0,0.0,0.121,0.0,169.0,0.157,8.529,0.0,0,0,0,0,0
v1.1.1/badges.html,0,0,0.0,0.0,0.117,0.0,169.0,0.156,8.594,0.0,0,0,0,0,0
v1.2.0/badges.html,0,0,0.0,0.0,0.14,0.0,182.0,0.17,8.621,0.0,0,0,0,0,0
v1.3.0/badges.html,0,0,0.0,0.0,0.133,0.0,205.0,0.177,8.667,0.0,0,0,0,0,0
v1.4.0/badges.html,0,0,0.0,0.0,0.146,0.0,197.0,0.184,8.668,0.0,0,0,0,0,0
v2.0.0/badges.html,0,0,0.0,0.0,0.181,0.0,274.0,0.241,8.533,0.0,0,0,0,0,0
v2.0.1/badges.html,0,0,0.0,0.0,0.151,0.0,240.0,0.198,8.373,0.0,0,0,0,0,0
v2.0.2/badges.html,0,0,0.0,0.0,0.045,0.0,68.0,0.06,8.435,0.0,0,0,0,0,0
v2.0.3/badges.html,0,0,0.0,0.0,0.048,0.0,73.0,0.066,8.336,0.0,0,0,0,0,0
v2.0.4/badges.html,0,0,0.0,0.0,0.167,0.0,243.0,0.21,8.545,0.0,0,0,0,0,0
v2.1.0/badges.html,0,0,0.0,0.0,0.165,0.0,269.0,0.23,8.581,0.0,0,0,0,0,0
v2.1.1/badges.html,0,0,0.0,0.0,0.272,0.0,217.0,0.316,8.572,0.0,0,0,0,0,0
v2.2.0/badges.html,0,0,0.0,0.0,0.185,0.0,261.0,0.234,8.541,0.0,0,0,0,0,0
v2.2.1/badges.html,0,0,0.0,0.0,0.164,0.0,253.0,0.22,8.438,0.0,0,0,0,0,0
v2.2.2/badges.html,0,0,0.0,0.0,0.23,0.0,381.0,0.318,8.422,0.0,0,0,0,0,0
v2.3.0/badges.html,0,0,0.0,0.0,0.241,0.0,455.0,0.395,8.465,0.0,0,0,0,0,0
v2.3.1/badges.html,0,0,0.0,0.0,0.218,0.0,362.0,0.301,8.374,0.0,0,0,0,0,0
v2.3.2/badges.html,0,0,0.0,0.0,0.273,0.0,604.0,0.484,8.384,0.0,0,0,0,0,0
v3.0.0-rc.2/badges.html,0,0,0.0,0.0,0.117,0.0,187.0,0.177,8.392,0.0,0,0,0,0,0
v3.0.0-rc1/badges.html,0,0,0.0,0.0,0.08,0.0,130.0,0.116,8.422,0.0,0,0,0,0,0
v3.0.0-rcFinal/badges.html,0,0,0.0,0.0,0.092,0.0,154.0,0.145,8.346,0.0,0,0,0,0,0
v1.0.0/base-css.html,0,0,0.0,0.0,0.084,0.0,673.0,0.377,8.408,0.0,0,0,0,0,0
v1.1.0/base-css.html,0,0,0.0,0.0,0.116,0.0,615.0,0.371,8.431,0.0,0,0,0,0,0
v1.1.1/base-css.html,0,0,0.0,0.0,0.08,0.0,424.0,0.254,8.558,0.0,0,0,0,0,0
v1.2.0/base-css.html,0,0,0.0,0.0,0.103,0.0,188.0,0.182,8.704,0.0,0,0,0,0,0
v1.3.0/base-css.html,0,0,0.0,0.0,0.092,0.0,163.0,0.156,8.643,0.0,0,0,0,0,0
