url,average_commit_time (ms),average_image_gathering_time (ms),average_num_layers_drawn (),average_num_missing_tiles (),dom_content_loaded_time (seconds),dropped_percent (%),first_paint (ms),load_time (seconds),mean_frame_time (ms),percent_impl_scrolled (%),texture_upload_count (count),total_deferred_image_decode_count (count),total_deferred_image_decoding_time (seconds),total_image_cache_hit_count (count),total_texture_upload_time (seconds)
v1.0.0/alert.html,0,0,0.0,0.0,0.337,0.0,534.0,0.437,8.474,0.0,0,0,0,0,0
v1.1.0/alert.html,0,0,0.0,0.0,0.183,0.0,371.0,0.281,8.386,0.0,0,0,0,0,0
v1.1.1/alert.html,0,0,0.0,0.0,0.208,0.0,399.0,0.31,8.4,0.0,0,0,0,0,0
v1.2.0/alert.html,0,0,0.0,0.0,0.258,0.0,478.0,0.358,8.706,0.0,0,0,0,0,0
v1.3.0/alert.html,0,0,0.0,0.0,0.205,0.0,312.0,0.256,8.302,0.0,0,0,0,0,0
v1.4.0/alert.html,0,0,0.0,0.0,0.204,0.0,377.0,0.277,8.201,0.0,0,0,0,0,0
v2.0.0/alert.html,0,0,0.0,0.0,0.212,0.0,331.0,0.273,8.432,0.0,0,0,0,0,0
v2.0.1/alert.html,0,0,0.0,0.0,0.244,0.0,393.0,0.339,8.437,0.0,0,0,0,0,0
v2.0.2/alert.html,0,0,0.0,0.0,0.272,0.0,489.0,0.425,8.24,0.0,0,0,0,0,0
v2.0.3/alert.html,0,0,0.0,0.0,0.263,0.0,416.0,0.361,8.29,0.0,0,0,0,0,0
v2.0.4/alert.html,0,0,0.0,0.0,0.293,0.0,487.0,0.421,8.235,0.0,0,0,0,0,0
v2.1.0/alert.html,0,0,0.0,0.0,0.268,0.0,431.0,0.364,8.281,0.0,0,0,0,0,0
v2.1.1/alert.html,0,0,0.0,0.0,0.34,0.0,212.0,0.479,8.299,0.0,0,0,0,0,0
v2.2.0/alert.html,0,0,0.0,0.0,0.309,0.0,448.0,0.395,8.261,0.0,0,0,0,0,0
v2.2.1/alert.html,0,0,0.0,0.0,0.229,0.0,394.0,0.339,8.313,0.0,0,0,0,0,0
v2.2.2/alert.html,0,0,0.0,0.0,0.247,0.0,444.0,0.335,8.272,0.0,0,0,0,0,0
v2.3.0/alert.html,0,0,0.0,0.0,0.215,0.0,322.0,0.267,8.224,0.0,0,0,0,0,0
v2.3.1/alert.html,0,0,0.0,0.0,0.227,0.0,564.0,0.376,8.457,0.0,0,0,0,0,0
v2.3.2/alert.html,0,0,0.0,0.0,0.257,0.0,410.0,0.354,8.302,0.0,0,0,0,0,0
v3.0.0-rc.2/alert.html,0,0,0.0,0.0,0.235,0.0,341.0,0.291,8.339,0.0,0,0,0,0,0
v3.0.0-rc1/alert.html,0,0,0.0,0.0,0.249,0.0,486.0,0.401,8.449,0.0,0,0,0,0,0
v3.0.0-rcFinal/alert.html,0,0,0.0,0.0,0.249,0.0,384.0,0.335,8.26,0.0,0,0,0,0,0
v1.0.0/badges.html,0,0,0.0,0.0,0.135,0.0,200.0,0.185,8.718,0.0,0,0,0,0,0
v1.1.0/badges.html,0,0,0.0,0.0,0.129,0.0,190.0,0.179,8.642,0.0,0,0,0,0,0
v1.1.1/badges.html,0,0,0.0,0.0,0.125,0.0,191.0,0.173,8.585,0.0,0,0,0,0,0
v1.2.0/badges.html,0,0,0.0,0.0,0.127,0.0,171.0,0.156,8.673,0.0,0,0,0,0,0
v1.3.0/badges.html,0,0,0.0,0.0,0.137,0.0,263.0,0.185,8.611,0.0,0,0,0,0,0
v1.4.0/badges.html,0,0,0.0,0.0,0.143,0.0,187.0,0.176,8.631,0.0,0,0,0,0,0
